Cell_Name,KPI,Accuracy (%),MAE,Data_Mean,RMSE,MAPE_Ref (%)
enodebB12B011,avg_rrc_connected_user,79.1,1.9,9.09,2.58,79552079259.24
enodebA1111B031,ps_traffic_mb,78.93,367.79,1745.21,687.31,11753910064726.99
enodebF112,avg_rrc_connected_user,78.93,3.07,14.56,3.78,134113992272.94
enodebA1131B011,ps_traffic_mb,78.72,265.23,1246.33,335.36,12591624577869.37
enodebA1111B011,prb_dl_used,78.68,144.95,679.85,186.01,1141957600942.55
enodebJ9,prb_dl_used,78.22,18.24,83.73,36.07,962702194864.65
enodebB3,prb_dl_used,77.95,97.16,440.62,124.54,2237343152388.59
enodebB2,prb_dl_used,77.8,57.25,257.89,82.27,867741902688.79
enodebB8,avg_rrc_connected_user,77.79,2.64,11.9,3.65,75317174225.56
enodebA1,avg_rrc_connected_user,77.76,2.76,12.41,3.39,201755603174.93
enodebB12B031,prb_dl_used,77.74,63.82,286.67,93.34,1797966639225.12
enodebA3,prb_dl_used,77.65,26.15,116.98,35.19,2304052273451.67
enodebH2,prb_dl_used,77.33,17.68,77.99,36.23,749059637404.72
enodebG2,avg_rrc_connected_user,77.06,4.71,20.55,5.99,146519025186.41
enodebG3,ps_traffic_mb,77.03,190.6,829.8,256.81,4432896296216.49
enodebF1121B011,avg_rrc_connected_user,76.9,1.31,5.66,1.78,20468468492.54
enodebJ81B281,avg_rrc_connected_user,76.48,1.1,4.68,1.46,32269790795.0
enodebA1131B281,ps_traffic_mb,76.26,270.68,1140.32,361.0,7602884292627.85
enodebD1,prb_dl_used,76.25,98.73,415.72,143.89,3154131253581.59
enodebE2,prb_dl_used,76.21,112.71,473.72,159.82,2151390393598.06
enodebH81B281,avg_rrc_connected_user,75.92,1.58,6.55,1.97,83814998489.42
enodebJ1,prb_dl_used,75.75,56.36,232.37,74.93,1129300912243.48
enodebJ9,avg_rrc_connected_user,75.58,2.72,11.15,3.52,39182831868.3
enodebA1111B011,avg_rrc_connected_user,75.57,5.97,24.42,7.58,183526158361.38
enodebD1,ps_traffic_mb,75.55,375.65,1536.56,552.09,8818707784069.07
enodebD7,avg_rrc_connected_user,75.22,1.97,7.93,2.36,108642404303.36
enodebH1,ps_traffic_mb,75.22,350.24,1413.13,504.11,2773264567093.3
enodebGA9,avg_rrc_connected_user,74.85,1.96,7.79,2.31,37105818617.65
enodebE31B011,prb_dl_used,74.76,22.37,88.65,39.01,1701427221315.82
enodebE31B011,avg_rrc_connected_user,74.39,0.76,2.98,0.98,6528961223.51
enodebF111,prb_dl_used,74.28,38.74,150.6,50.43,1052495797498.24
enodebC2,prb_dl_used,74.0,83.78,322.31,120.3,2070445060754.44
enodebF2,prb_dl_used,73.98,51.04,196.12,72.32,1885509729408.0
enodebE2,ps_traffic_mb,73.95,255.12,979.33,362.8,2634187698396.09
enodebI8,prb_dl_used,73.83,62.39,238.41,89.26,764004071585.82
enodebJ2,prb_dl_used,73.68,22.89,86.95,33.48,1149289449078.51
enodebF31B011,prb_dl_used,73.5,53.37,201.43,77.43,1449573993706.61
enodebGA3,ps_traffic_mb,73.44,174.5,656.93,234.19,2144035339389.48
enodebI7,prb_dl_used,73.36,69.16,259.66,93.49,1427666664152.05
enodebI91B281,avg_rrc_connected_user,73.32,1.27,4.75,1.59,35932640266.27
enodebA3,ps_traffic_mb,73.32,111.61,418.26,143.4,3812379519170.06
enodebI7,ps_traffic_mb,73.27,291.82,1091.89,385.75,5819482167611.18
enodebA1121B031,prb_dl_used,73.22,98.92,369.34,136.49,2065857887295.71
enodebJ1,ps_traffic_mb,73.18,315.66,1176.87,409.37,5978383382271.91
enodebD61B281,avg_rrc_connected_user,73.06,2.6,9.65,3.51,117057614050.67
enodebI81B281,prb_dl_used,73.01,109.51,405.82,146.44,787116050755.04
enodebE61B281,avg_rrc_connected_user,72.92,1.79,6.62,2.22,67327757704.04
enodebD51B281,avg_rrc_connected_user,72.8,3.48,12.8,4.05,116435130462.8
enodebB3,ps_traffic_mb,72.75,253.74,931.06,324.79,7103603998865.5
enodebJ3,avg_rrc_connected_user,72.74,3.71,13.61,5.18,119369645935.35
enodebE11B011,avg_rrc_connected_user,72.49,1.26,4.59,1.61,18463552028.52
enodebJ7,avg_rrc_connected_user,72.46,3.31,12.03,4.47,33768485018.2
enodebH7,avg_rrc_connected_user,72.44,1.02,3.71,1.49,3859957096.88
enodebI8,ps_traffic_mb,72.42,243.59,883.06,308.36,2395996094004.8
enodebGA3,prb_dl_used,72.32,54.32,196.22,70.69,1027997652719.03
enodebC2,ps_traffic_mb,71.77,188.21,666.63,265.32,3977725346923.16
enodebB2,ps_traffic_mb,71.73,237.65,840.52,345.92,1592595418330.03
enodebF11B011,avg_rrc_connected_user,71.62,2.47,8.71,3.19,42768756584.61
enodebB12B031,ps_traffic_mb,71.55,191.54,673.17,262.02,6807044665053.79
enodebD2,ps_traffic_mb,71.22,230.33,800.26,379.89,10543382645058.99
enodebF3,prb_dl_used,71.15,80.89,280.4,104.19,2553452491788.85
enodebH8,prb_dl_used,71.11,59.56,206.12,79.5,1176017284423.12
enodebI81B281,ps_traffic_mb,71.1,180.5,624.49,225.72,478722254508.52
enodebC1,avg_rrc_connected_user,70.98,0.58,1.99,0.76,29033984439.3
enodebG9,avg_rrc_connected_user,70.96,1.85,6.35,2.36,38327664166.66
enodebD7,prb_dl_used,70.74,64.96,221.98,92.21,2721658547745.99
enodebF2,ps_traffic_mb,70.69,258.82,882.97,357.38,11168698946676.29
enodebA61B281,avg_rrc_connected_user,70.24,2.09,7.04,2.69,82684308322.37
enodebF121,avg_rrc_connected_user,70.22,1.88,6.31,2.33,28094848039.89
enodebI3,prb_dl_used,70.19,46.38,155.61,67.43,1023012161279.1
enodebG1,prb_dl_used,70.13,44.05,147.47,61.99,1062994798050.67
enodebJ91B281,avg_rrc_connected_user,70.1,1.8,6.01,2.42,23964539198.38
enodebI2,avg_rrc_connected_user,70.07,1.2,4.02,1.55,29779568344.24
enodebF31B011,avg_rrc_connected_user,69.84,8.0,26.52,10.07,78660945124.56
enodebG2,prb_dl_used,69.83,50.81,168.41,73.03,954089403177.52
enodebI3,ps_traffic_mb,69.75,157.56,520.8,219.27,362384160395.37
enodebGA9,prb_dl_used,69.74,29.81,98.52,44.98,1013176401478.96
enodebE3,prb_dl_used,69.69,105.08,346.68,139.6,2372519016297.74
enodebB7,prb_dl_used,69.44,171.19,560.15,264.38,3174749374422.98
enodebF11B011,prb_dl_used,69.33,31.46,102.58,53.05,1021633386633.39
enodebA1121B031,avg_rrc_connected_user,69.19,7.06,22.92,8.33,221758763025.39
enodebD2,prb_dl_used,68.91,119.71,385.02,170.7,3645412604039.58
enodebF1111B011,avg_rrc_connected_user,68.86,4.97,15.95,6.77,110793729655.12
enodebB1,avg_rrc_connected_user,68.82,21.62,69.34,28.35,522263566684.82
enodebA1111B011,ps_traffic_mb,68.78,312.03,999.59,398.19,1478367487661.54
enodebE3,ps_traffic_mb,68.63,286.13,912.16,368.93,4333209991494.44
enodebB1,prb_dl_used,68.49,230.33,730.87,301.38,5982528686555.5
enodebH81B281,prb_dl_used,67.97,37.33,116.54,53.9,2392200231578.53
