Cell_Name,KPI,MAE,RMSE,MAPE (%),Accuracy (%),Data_Mean
enodebI91B281,avg_rrc_connected_user,1.27,1.59,35932640266.27,0,4.75
enodebI91B281,prb_dl_used,65.22,94.55,2290868997607.14,0,181.44
enodebC2,ps_traffic_mb,188.21,265.32,3977725346923.16,0,666.63
enodebC2,avg_rrc_connected_user,3.61,4.67,261541207645.84,0,23.47
enodebC2,prb_dl_used,83.78,120.3,2070445060754.44,0,322.31
enodebB3,ps_traffic_mb,253.74,324.79,7103603998865.5,0,931.06
enodebB3,avg_rrc_connected_user,6.39,8.09,227605342883.27,0,32.3
enodebB3,prb_dl_used,97.16,124.54,2237343152388.59,0,440.62
enodebD41B281,ps_traffic_mb,234.78,291.66,9668510913881.09,0,712.66
enodebD41B281,avg_rrc_connected_user,2.3,2.93,197448561601.37,0,17.18
enodebD41B281,prb_dl_used,186.23,230.92,5471254030896.29,0,552.29
enodebD7,ps_traffic_mb,127.27,156.79,1581498146144.62,0,327.0
enodebD7,avg_rrc_connected_user,1.97,2.36,108642404303.36,0,7.93
enodebD7,prb_dl_used,64.96,92.21,2721658547745.99,0,221.98
enodebI81B281,ps_traffic_mb,180.5,225.72,478722254508.52,0,624.49
enodebI81B281,avg_rrc_connected_user,2.65,3.29,84815919415.51,0,18.16
enodebI81B281,prb_dl_used,109.51,146.44,787116050755.04,0,405.82
enodebA1111B011,ps_traffic_mb,312.03,398.19,1478367487661.54,0,999.59
enodebA1111B011,avg_rrc_connected_user,5.97,7.58,183526158361.38,0,24.42
enodebA1111B011,prb_dl_used,144.95,186.01,1141957600942.55,0,679.85
enodebA1131B011,ps_traffic_mb,265.23,335.36,12591624577869.37,0,1246.33
enodebA1131B011,avg_rrc_connected_user,4.83,6.88,336956183130.55,0,29.25
enodebA1131B011,prb_dl_used,83.17,116.8,2827740351378.14,0,453.54
enodebC3,ps_traffic_mb,293.19,411.31,3844407399542.41,0,636.68
enodebC3,avg_rrc_connected_user,4.17,5.07,279793729401.4,0,21.28
enodebC3,prb_dl_used,107.1,160.01,2175375461607.31,0,288.67
enodebB11B072,ps_traffic_mb,20.85,35.78,198925735371.78,0,23.5
enodebB11B072,avg_rrc_connected_user,0.39,0.59,6560867121.54,0,0.7
enodebB11B072,prb_dl_used,2.36,7.26,786548733713.57,0,65.39
enodebJ91B281,ps_traffic_mb,114.15,171.09,995103518222.34,0,230.37
enodebJ91B281,avg_rrc_connected_user,1.8,2.42,23964539198.38,0,6.01
enodebJ91B281,prb_dl_used,48.23,78.17,1489787896502.49,0,130.92
enodebE11B011,ps_traffic_mb,154.91,231.05,19279162369.58,0,276.78
enodebE11B011,avg_rrc_connected_user,1.26,1.61,18463552028.52,0,4.59
enodebE11B011,prb_dl_used,49.8,81.57,1778368353871.2,0,126.26
enodebH71B281,ps_traffic_mb,86.53,116.44,111182531597.36,0,179.34
enodebH71B281,avg_rrc_connected_user,0.8,1.0,7589489248.11,0,4.18
enodebH71B281,prb_dl_used,34.78,49.62,1235721945793.77,0,101.64
enodebA61B281,ps_traffic_mb,120.72,154.47,2553366979017.27,0,294.72
enodebA61B281,avg_rrc_connected_user,2.09,2.69,82684308322.37,0,7.04
enodebA61B281,prb_dl_used,92.47,125.01,2383609294927.69,0,285.99
enodebH3,ps_traffic_mb,13.08,17.95,338220917800.65,0,13.12
enodebH3,avg_rrc_connected_user,0.37,0.5,7673531304.09,0,0.7
enodebH3,prb_dl_used,3.67,7.62,693032622341.66,0,65.81
enodebH81B281,ps_traffic_mb,180.34,441.35,6364397208399.24,0,299.22
enodebH81B281,avg_rrc_connected_user,1.58,1.97,83814998489.42,0,6.55
enodebH81B281,prb_dl_used,37.33,53.9,2392200231578.53,0,116.54
enodebE2,ps_traffic_mb,255.12,362.8,2634187698396.09,0,979.33
enodebE2,avg_rrc_connected_user,2.88,3.8,194025456919.86,0,19.66
enodebE2,prb_dl_used,112.71,159.82,2151390393598.06,0,473.72
enodebF111,ps_traffic_mb,203.6,267.26,2542082786615.22,0,608.99
enodebF111,avg_rrc_connected_user,3.76,4.57,152860174593.4,0,20.64
enodebF111,prb_dl_used,38.74,50.43,1052495797498.24,0,150.6
enodebC1131B031,ps_traffic_mb,145.87,223.49,372868537973.12,0,336.56
enodebC1131B031,avg_rrc_connected_user,2.67,3.37,151126046991.75,0,14.9
enodebC1131B031,prb_dl_used,75.55,127.45,1815239747396.21,0,198.34
enodebI2,ps_traffic_mb,44.12,80.13,324361960197.35,0,68.9
enodebI2,avg_rrc_connected_user,1.2,1.55,29779568344.24,0,4.02
enodebI2,prb_dl_used,8.94,16.92,681702415158.25,0,70.6
enodebE3,ps_traffic_mb,286.13,368.93,4333209991494.44,0,912.16
enodebE3,avg_rrc_connected_user,2.55,3.19,187755823151.09,0,15.68
enodebE3,prb_dl_used,105.08,139.6,2372519016297.74,0,346.68
enodebC1121B031,ps_traffic_mb,148.44,220.78,1092794736321.41,0,285.97
enodebC1121B031,avg_rrc_connected_user,2.68,3.14,106285522402.03,0,14.63
enodebC1121B031,prb_dl_used,88.92,131.25,2452610492748.25,0,191.46
enodebI8,ps_traffic_mb,243.59,308.36,2395996094004.8,0,883.06
enodebI8,avg_rrc_connected_user,4.0,4.84,106814622899.71,0,23.21
enodebI8,prb_dl_used,62.39,89.26,764004071585.82,0,238.41
enodebB2,ps_traffic_mb,237.65,345.92,1592595418330.03,0,840.52
enodebB2,avg_rrc_connected_user,4.1,5.6,148021280777.72,0,27.84
enodebB2,prb_dl_used,57.25,82.27,867741902688.79,0,257.89
enodebD2,ps_traffic_mb,230.33,379.89,10543382645058.99,0,800.26
enodebD2,avg_rrc_connected_user,1.93,2.36,190110385438.96,0,12.41
enodebD2,prb_dl_used,119.71,170.7,3645412604039.58,0,385.02
enodebA2,ps_traffic_mb,149.44,203.6,2781180063936.5,0,431.17
enodebA2,avg_rrc_connected_user,2.47,3.15,158047954257.04,0,14.48
enodebA2,prb_dl_used,42.63,59.55,1979317824072.51,0,128.44
enodebA51B281,ps_traffic_mb,240.84,289.82,6024395624853.5,0,511.59
enodebA51B281,avg_rrc_connected_user,4.61,5.56,203486174382.03,0,11.86
enodebA51B281,prb_dl_used,167.26,201.54,4282490730330.1,0,440.99
enodebF3,ps_traffic_mb,289.45,397.51,5499096552583.29,0,848.66
enodebF3,avg_rrc_connected_user,4.39,5.43,188228130356.71,0,25.3
enodebF3,prb_dl_used,80.89,104.19,2553452491788.85,0,280.4
